date,ASML,AVGO,EQIX,GOOGL,ISRG,JPM,LIN,LLY,MSFT,NVO,PLD,RELX,ROP,SPGI,SPY,TDG,TSM,UNH
2024-06-10,0.0129227649,0.0240502014,0.0121317814,0.0043038221,0.0018438724,-0.0017004458,-0.0039197824,0.0176589975,0.0094844726,0.0052492491,0.0088020717,-0.0017833025,0.0044581315,0.0029388085,0.0030895584,-0.0030610684,0.0229331791,0.0087834334
2024-06-11,-0.0054718854,0.0142730365,-0.0029508460,0.0091995499,0.0009560540,-0.0263011766,0.0080556999,0.0009479178,0.0112417043,-0.0128108269,0.0036881027,-0.0049127764,-0.0014016703,-0.0027674285,0.0024085701,-0.0092726804,-0.0145694879,0.0024647373
2024-06-12,0.0317081940,0.0235998207,0.0015389946,0.0066243166,0.0222551396,-0.0145606839,-0.0030081806,0.0017094109,0.0193676526,0.0103674830,0.0110233590,0.0262565955,0.0044447972,0.0266784415,0.0082127294,0.0218335772,0.0438718504,-0.0063479745
2024-06-13,-0.0151095213,0.1226872581,0.0067633465,-0.0147927342,-0.0121467230,0.0111209715,0.0129671659,0.0184827226,0.0011790681,-0.0053747215,-0.0038116406,-0.0017493756,-0.0197426248,-0.0069505127,0.0020137641,0.0011496628,0.0027489235,0.0085788149
2024-06-14,-0.0235676679,0.0333831548,-0.0004434725,0.0093058998,0.0068101322,0.0006196889,-0.0064802632,-0.0055245751,0.0022419222,0.0000701892,-0.0008008259,-0.0094195135,0.0041670449,-0.0063816938,0.0006083206,-0.0218260010,-0.0023133421,-0.0003618786
2024-06-17,0.0239030949,0.0540794654,-0.0050635338,0.0025454777,0.0099112247,0.0061925582,0.0084219768,0.0074676555,0.0131052171,-0.0149475284,-0.0004492262,0.0057496585,0.0075349025,-0.0025323960,0.0079589948,0.0186520620,0.0274186973,-0.0116965320
2024-06-18,0.0084658627,-0.0144076745,0.0150319106,-0.0121306360,0.0116279070,0.0103600474,-0.0013843827,0.0072880396,-0.0045273851,0.0030634854,-0.0110530647,0.0021988053,0.0117595299,0.0058852245,0.0025405907,0.0155963025,0.0138230534,-0.0167201335
2024-06-20,-0.0100247744,-0.0377029376,-0.0132327237,0.0069108379,-0.0056322120,0.0084771699,0.0059315842,-0.0061359297,-0.0014340901,0.0013494854,-0.0080872299,0.0015357520,-0.0015711480,0.0065618272,-0.0027166451,-0.0073237228,-0.0239857377,0.0072134752
2024-06-21,-0.0134571998,-0.0437746453,0.0018334239,0.0188883130,0.0000231413,-0.0119292578,0.0002711117,-0.0023815819,0.0091542198,0.0068798586,0.0021986167,-0.0010953954,0.0040591110,0.0011624734,-0.0013405920,-0.0064528814,-0.0080966729,-0.0039833571
2024-06-24,-0.0333686746,-0.0369970947,-0.0167320441,-0.0022825474,-0.0081375741,0.0131431539,0.0008810151,0.0070484427,-0.0046912721,0.0022540945,0.0203838857,0.0052633504,0.0018878720,0.0130914167,-0.0032505127,0.0052685270,-0.0353530086,0.0153132258
2024-06-25,0.0212872648,-0.0071723413,-0.0124169352,0.0268385242,0.0309294908,-0.0040728709,-0.0044456502,0.0162900031,0.0073270297,0.0325415438,-0.0161246924,0.0037084049,0.0007823177,0.0085623534,0.0038508484,-0.0057905215,0.0285441332,-0.0111841152
2024-06-26,-0.0065862621,0.0070913093,-0.0013327104,-0.0008150839,0.0005652144,-0.0032313145,-0.0062334183,-0.0037030905,0.0026830313,-0.0220544237,0.0052809106,-0.0104325505,-0.0096804542,-0.0009359515,0.0012480373,-0.0147914318,-0.0030707268,-0.0009495402
2024-06-27,0.0112237317,-0.0033542158,0.0136008117,0.0083207042,0.0057619030,0.0088133439,0.0041055831,0.0086323064,0.0015262084,0.0057075603,0.0085136102,0.0136175006,0.0081069554,0.0012267742,0.0015765234,-0.0093631483,-0.0025569448,0.0049583437
2024-06-28,-0.0051363156,0.0118929358,0.0061703730,-0.0175826342,-0.0005840787,0.0155142628,-0.0032028596,-0.0040261256,-0.0130287412,-0.0121115061,0.0086215005,-0.0058504642,0.0028467112,-0.0064823713,-0.0039352188,-0.0085672373,0.0127015912,0.0469122219
2024-07-01,0.0105209194,0.0219676599,0.0040711207,0.0046115292,-0.0193548741,0.0157719862,-0.0224926965,0.0099295085,0.0218816065,0.0187753540,-0.0032054271,-0.0146033474,-0.0018272641,0.0007175111,0.0020582321,-0.0194816144,-0.0085149650,-0.0286886702
2024-07-02,0.0139333119,0.0101657773,-0.0043439536,0.0122958278,0.0058912694,0.0164516255,0.0026810514,-0.0083773004,0.0055831992,-0.0167790739,0.0112549276,0.0064145464,0.0008530161,0.0092535207,0.0067295103,0.0202599114,0.0195554836,0.0072576078
2024-07-03,0.0224452267,0.0432826970,-0.0097570701,0.0031308603,-0.0091155626,-0.0006704009,0.0066264208,-0.0094959933,0.0032441489,-0.0287452422,0.0007950935,0.0041757363,-0.0047239536,-0.0022422631,0.0044627457,0.0042250003,0.0386454570,-0.0167588375
